threads,execution_time_sec
1,270.7085184440002
2,166.58240185600152
3,130.28480461899744
4,112.74296242800119
5,107.12113745500028
6,102.42685920700023
7,94.03586797800017
8,95.25239327799864
9,129.313265544999
10,89.75816600399776
11,87.14849009400132
12,85.79264269100167
13,87.02388942100151
14,82.45292619099928
15,82.18017584900008
16,110.18405885899847
17,84.18232987199735
18,78.20703248800055
19,111.47346620000098
20,80.09571557299932
21,124.04008599200097
22,99.68828405300155
23,81.84784674199909
24,97.95042418899902
25,114.6767282030014
26,111.07610925399786
